1,"502 Cedar Dr","Santa Ana Pueblo","NM","87004",,"Mailing & Physical",0
94,"1133 W. Columbia Dr.","Kennewick","WA","99336",,"Mailing",0
95,"1201 W. Columbia Dr","Kennewick","WA","99336",,"Mailing",0
96,"408 SW Goodwin Ave","Pendleton","OR","97801",,"Mailing",0
97,"9430 NE Prescott","Portland","OR","97220",,"Mailing",0
99,"1083 W. Irvine","The Dalles","OR","97058",,"Mailing",0
100,"4155 NE Three Mile Lane, #33","McMinnvile","OR","97128",,"Mailing",0
101,"3201 Tremont Avenue","North Bend","OR","97459",,"Mailing",0
102,"5100 SW Macadam Ave, Ste 300","Portland","OR","97239",,"Mailing",0
103,"726 Royal Ave #21","Medford","OR","97504",,"Mailing",0
104,"4107 SE International Way, Ste 705","Milwaukie","OR","97222",,"Mailing",0
105,"4548 N. Albina Ave","Portland","OR","97217",,"Mailing",0
107,"999 18th St, Ste 2460","Denver","CO","80202",,"Mailing",0
108,"RR2 Box 77E","Pocatello","ID","83202",,"Mailing",0
109,"3338 SE 17th Ave","Portland","OR","97202",,"Mailing",0
110,"702 West 9th St.","Wapato","WA","98903",,"Mailing",0
111,"87193 McTimmons Lane","Bandon","OR","97411",,"Mailing",0
112,"551 S. 4th St.","Springfield","OR","97477",,"Mailing",0
113,"PO Box 2198","Beaverton","OR","97075",,"Mailing",0
114,"PO Box 1907","Kalama","WA","98625",,"Mailing",0
115,"454 Elm Street","Phoenix","OR","97535",,"Mailing",0
116,"PO Box 429","Warm Springs","OR","97761",,"Mailing",0
116,"1233 Veteran's Way","Warm Springs","OR","97761",,"Physical",0
117,"2042 NE Airport Rd","Roseburg","OR","97470",,"Mailing",0
118,"520 SE Spruce St","Roseburg","OR","97470",,"Mailing",0
119,"255 Depot Street","Fairview","OR","97024",,"Mailing",0
120,"9615 Grand Ronde Rd","Grand Ronde","OR","97347",,"Mailing",0
121,"47559 Short Mile Rd","Pendleton","OR","97801",,"Mailing",0
122,"PO Box 741","Cass Lake","MN","56633",,"Mailing",0
123,"4223 W. Emerald St","Boise","ID","83706",,"Mailing",0
124,"120 State Ave NE #1455","Olympia","WA","98501",,"Mailing",0
125,"327 SE 1st","Pendleton","OR","97801",,"Physical",0
125,"PO Box 139","Pendleton","OR","97801",,"Mailing",0
126,"3323 Pacific Avenue","Tacoma","WA","98418",,"Mailing",0
127,"4041 B St","Anchorage","AK","99503",,"Mailing",0
127,"8320 154th Ave NE","Redmond","WA","98052",,"Mailing",0
128,"PO Box 545","Suquamish","WA","98392",,"Mailing",0
129,"2500 N. Williams Ave #404","Portland","OR","97227",,"Mailing",0
130,"855 SW Yates Dr, Ste 201","Bend","OR","97702",,"Mailing",0
131,"PO Box 652","Oakville","WA","985680652",,"Mailing",0
132,"PO Box 222","Warm Springs","OR","97761",,"Mailing",0
133,"PO Box 3521","Coos Bay","OR","97420",,"Mailing",0
145,"915 Sommerville Loop","Harrisburg","OR","97446",,"Mailing",0
146,"PO Box 554","Myrtle Point","OR","97458",,"Mailing",0
147,"7216 N. Van Houten Ave","Portland","OR","97203",,"Mailing",0
148,"11144 SE 30th Ave","Milwaukie","OR","97222",,"Mailing",0
149,"18305 SW Augusta Lane","Beaverton","OR","97006",,"Mailing",0
150,"206 Oak St","Silverton","OR","97381",,"Mailing",0
151,"421 SW 6th Ave, Ste 1210","Portland","OR","97204",,"Mailing",0
152,"PO Box 130","White Swan","WA","98952",,"Mailing",0
153,"351 S. Main St.","Pendleton","OR","97801",,"Mailing & Physical",0
156,"18230 Frost Rd.  ","Dallas","OR","97338",,"Mailing",0
157,"PO Box 99","Maupin","OR","97037",,"Mailing",0
158,"732 Shelley St","Springfield ","OR","97477",,"Mailing",0
159,"1721 Fescue Street SE","Albany","OR","97322",,"Mailing",0
160,"PO Box 749","Warm Springs","OR","97761",,"Mailing",0
161,"11076 Hwy 200","Dixon","MT","59831",,"Mailing",0
162,"170 North Adams St","Coquille","OR","97423",,"Mailing",0
164,"PO Box 2027","Omak","WA","98841",,"Mailing",0
167,"7737 SW Cirrus Dr","Beaverton","OR","970085967",,"Mailing",0
168,"PO Box 666","Bothell","WA","98041",,"Mailing",0
169,"565 Rio Vista Drive","Fallon","NV","89406",,"Mailing",0
170,"615 East Williams Avenue","Fallon","NV","89406",,"Mailing",0
171,"1205 Klamath Ave","Klamath Falls","OR","97601",,"Mailing",0
172,"PO Box 1218","Brookings","OR","97415",,"Mailing",0
173,"7305 43rd Ave NE","Marysville","WA","98270",,"Mailing",0
174,"8920 84th St NE","Arlington","WA","98223",,"Mailing",0
175,"1225 Avenue ""C""","White City","OR","97503",,"Mailing",0
176,"39130 Dubarko Rd","Sandy","OR","97055",,"Mailing",0
177,"1625 SW Morrison","Portland","OR","97205",,"Mailing",0
178,"5105 E. Railroad","Spokane","WA","99212",,"Mailing",0
179,"1033 Old Blyn Hwy","Sequim","WA","98382",,"Mailing",0
180,"2780 SE Harrison St, Ste. 104","Milwaukie","OR","97222",,"Mailing",0
181,"PO Box 1189","Warm Springs","OR","97761",,"Mailing",0
182,"2611 S Hargreaves Ct","Spokane","WA","99223",,"Mailing",0
183,"48705 Wilson River Hwy","Tillamook","OR","97141",,"Mailing",0
