1,162
1,117
2,118
2,119
2,5
3,34
3,42
4,120
5,121
5,2
6,33
7,122
7,124
7,123
8,126
9,108
9,44
9,31
10,73
11,44
11,30
11,108
12,48
16,49
15,19
19,32
19,49
19,50
22,131
22,132
21,133
23,50
23,24
23,30
24,24
15,118
26,4
26,6
26,69
26,96
27,24
27,90
29,69
30,64
30,93
30,134
32,111
33,2
33,135
35,136
36,137
36,138
37,93
38,31
38,108
38,139
39,32
39,42
39,44
40,97
41,32
41,43
41,127
42,75
43,30
43,50
43,140
44,41
44,37
45,40
45,142
46,77
46,144
46,143
47,56
47,91
48,32
48,24
48,50
49,146
50,75
50,96
51,43
51,42
51,32
52,147
53,4
53,85
53,149
55,50
55,24
55,151
56,60
57,5
57,86
57,149
58,3
58,24
58,49
59,3
59,49
60,6
60,69
61,6
61,69
63,5
63,170
65,102
65,77
66,1
66,152
66,153
67,4
67,155
67,64
68,49
62,5
62,69
69,5
70,1
70,87
71,5
71,6
71,95
73,1
73,156
74,57
75,69
75,6
76,5
76,157
77,108
77,106
78,156
78,159
78,158
79,83
79,81
79,66
80,161
80,160
81,16
81,163
81,162
82,164
82,165
82,170
83,64
83,6
84,66
84,102
84,12
85,9
85,94
86,24
86,83
86,166
87,16
87,169
87,167
88,169
88,25
88,50
89,48
89,24
89,83
90,171
91,64
91,19
91,119
92,36
92,45
92,172
93,33
93,108
93,44
94,32
95,37
96,11
97,164
97,165
97,148
99,9
99,58
99,109
100,69
100,64
101,61
101,100
101,20
102,171
102,166
103,169
103,100
103,16
103,83
104,60
104,174
104,62
105,32
105,41
105,37
107,175
108,49
108,122
108,50
109,5
109,64
110,69
110,95
110,4
111,15
111,16
111,21
112,4
112,19
112,64
113,21
114,17
114,81
114,111
115,69
115,64
115,95
116,21
116,86
117,1
117,152
117,65
118,177
119,32
120,18
121,64
121,57
122,24
122,166
122,171
123,160
123,86
123,87
124,6
124,86
125,106
125,108
126,50
126,123
126,3
127,49
127,24
127,151
128,32
128,41
129,6
129,113
129,114
130,21
130,16
131,17
131,109
131,94
132,111
132,81
132,87
133,85
133,65
133,5
146,179
147,69
148,6
148,19
148,69
149,177
150,69
150,181
151,182
152,6
152,53
152,24
153,19
153,64
277,18
278,96
130,55
170,47
170,63
170,93
169,24
169,184
201,21
201,30
201,84
215,19
215,5
215,101
216,74
216,93
216,91
160,185
174,25
173,186
161,108
161,44
161,128
167,41
189,187
158,35
158,188
158,190
211,42
179,25
179,31
179,32
288,90
270,4
270,5
270,6
266,171
247,6
247,19
247,96
262,28
255,8
241,68
227,32
227,34
227,36
226,191
271,93
271,52
258,135
246,63
246,47
242,47
242,63
251,47
234,70
234,82
268,192
265,47
265,63
265,192
230,193
249,75
249,49
238,60
244,56
272,70
254,64
254,194
231,47
231,64
231,97
248,160
248,4
248,64
259,65
259,101
219,66
263,185
232,97
232,74
232,4
222,195
239,47
239,63
252,25
224,86
236,91
261,126
233,60
253,75
237,91
250,21
257,185
275,52
275,93
275,134
225,64
235,93
260,89
245,8
245,105
223,106
223,108
221,196
243,58
229,93
145,31
145,218
145,
156,55
202,127
202,43
282,99
187,197
187,79
172,23
187,23
178,23
181,169
164,31
164,44
164,185
182,48
182,24
162,29
184,29
183,198
192,112
213,19
213,6
205,69
205,4
205,6
177,11
176,181
176,5
212,15
212,16
212,55
168,16
168,199
214,50
214,30
175,32
175,127
175,43
159,200
186,31
197,95
197,4
197,149
209,29
208,32
208,44
208,28
188,201
188,8
171,4
171,59
210,6
210,69
157,6
193,202
299,203
267,205
267,206
240,23
264,207
258,208
54,32
54,44
54,127
300,209
301,64
301,69
301,181
302,61
302,52
302,92
303,210
303,91
304,74
304,93
305,97
306,97
307,63
307,47
,185
,205
309,75
284,100
295,138
310,162
281,103
280,61
279,100
285,222
293,68
180,49
311,5
311,6
311,114
312,14
312,16
313,7
313,24
314,61
190,24
317,108
318,5
318,95
320,60
320,64
321,5
321,48
321,164
322,16
322,20
322,176
323,16
323,21
323,176
324,16
324,21
325,65
325,85
316,211
190,16
326,212
327,4
328,64
328,87
329,24
329,106
329,107
330,16
330,68
330,215
191,4
331,24
331,169
200,16
200,166
204,219
228,24
228,166
286,221
332,16
332,21
332,83
333,64
333,69
334,24
334,32
335,64
335,69
335,4
176,69
95,35
94,41
314,210
336,153
314,92
338,102
338,66
338,64
220,70
52,70
339,24
339,48
339,166
334,79
308,185
308,205
